Organization Name,ORG_CITY,ORG_STATE/ORG_COUNTRY,FY12,FY13,Institution type
BOSTON BIOMEDICAL RESEARCH INSTITUTE,WATERTOWN,MASSACHUSETTS,103,103,NP res inst
LA JOLLA BIOENGINEERING INSTITUTE,SAN DIEGO,CALIFORNIA,85,100,NP res inst
ROSWELL PARK CANCER INSTITUTE CORP,BUFFALO,NEW YORK,99.9,99.9,Hosp
LA JOLLA INFECTIOUS DISEASE INSTITUTE,SAN DIEGO,CALIFORNIA,97,97,NP res inst
SCHEPENS EYE RESEARCH INSTITUTE,BOSTON,MASSACHUSETTS,97,97,NP res inst
SANFORD-BURNHAM MEDICAL RESEARCH INSTIT,LA JOLLA,CALIFORNIA,94.2,95,NP res inst
WHITEHEAD INSTITUTE FOR BIOMEDICAL RES,CAMBRIDGE,MASSACHUSETTS,95,95,NP res inst
"TRUDEAU INSTITUTE, INC.",SARANAC LAKE,NEW YORK,88,95,NP res inst
SEATTLE CHILDREN'S HOSPITAL,SEATTLE,WASHINGTON,94,95,Hosp
SALK INSTITUTE FOR BIOLOGICAL STUDIES,LA JOLLA,CALIFORNIA,92,94,NP res inst
BUCK INSTITUTE FOR RESEARCH ON AGING,NOVATO,CALIFORNIA,94,94,NP res inst
HAUPTMAN-WOODWARD MEDICAL RESEARCH INST,BUFFALO,NEW YORK,94,94,NP res inst
FORSYTH INSTITUTE,Cambridge,MASSACHUSETTS,99,92,NP res inst
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,ARIZONA,92,92,Hosp
J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CALIFORNIA,91,91,NP res inst
MAX PLANCK FLORIDA CORPORATION,JUPITER,FLORIDA,90,90,NP res inst
VAN ANDEL RESEARCH INSTITUTE,GRAND RAPIDS,MICHIGAN,90,90,NP res inst
SCRIPPS RESEARCH INSTITUTE,LA JOLLA,CALIFORNIA,89.5,89.5,NP res inst
VGTI FLORIDA,PORT SAINT LUCIE,FLORIDA,89,89,NP res inst
SCRIPPS FLORIDA,JUPITER,FLORIDA,98,89,NP res inst
COLD SPRING HARBOR LABORATORY,COLD SPRING HARBOR,NEW YORK,87,89,NP res inst
"J. CRAIG VENTER INSTITUTE, INC.",ROCKVILLE,MARYLAND,88,88,NP res inst
PUGET SOUND BLOOD CENTER,SEATTLE,WASHINGTON,87,87,NP res inst
TRANSLATIONAL GENOMICS RESEARCH INST,PHOENIX,ARIZONA,86,86,NP res inst
REGENERATIVE RESEARCH FOUNDATION,Rensselaer,NEW YORK,80,85,NP res inst
WISTAR INSTITUTE,PHILADELPHIA,PENNSYLVANIA,85,85,NP res inst
NEW YORK STRUCTURAL BIOLOGY CENTER,NEW YORK,NEW YORK,85,85,NP res inst
UNIVERSIDAD DEL ESTE,CAROLINA,PUERTO RICO,81,85,Higher Ed
PACIFIC NORTHWEST RESEARCH INSTITUTE,SEATTLE,WASHINGTON,84.5,84.5,NP res inst
SEATTLE BIOMEDICAL RESEARCH INSTITUTE,SEATTLE,WASHINGTON,72.5,84,NP res inst
INSTITUTE FOR SYSTEMS BIOLOGY,SEATTLE,WASHINGTON,84,83,NP res inst
LONG ISLAND UNIVERSITY C. W. POST CENTER,GREENVALE,NEW YORK,80,80,Higher Ed
MASS COLLEGE OF PHARM HEALTH SCIENCES,BOSTON,MASSACHUSETTS,80,80,Higher Ed
THE HAMNER INSTITUTES,RESEARCH TRIANGLE PARK,NORTH CAROLINA,80,80,NP res inst
CALIFORNIA INSTITUTE FOR MEDICAL RES,SAN JOSE,CALIFORNIA,80.5,79.9,NP res inst
STATE COLLEGE OF OPTOMETRY,NEW YORK,NEW YORK,79.5,79.5,Higher Ed
TEXAS BIOMEDICAL RESEARCH INSTITUTE,SAN ANTONIO,TEXAS,79.1,79.1,NP res inst
PONCE SCHOOL OF MEDICINE,PONCE,PUERTO RICO,79,79,Higher Ed
FOX CHASE CANCER CENTER,PHILADELPHIA,PENNSYLVANIA,77.5,78.5,NP res inst
HOUSE RESEARCH INSTITUTE,LOS ANGELES,CALIFORNIA,78.5,78.5,NP res inst
SUNY COLLEGE AT NEW PALTZ,NEW PALTZ,NEW YORK,78.5,78.5,Higher Ed
SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,SAN FRANCISCO,CALIFORNIA,66,78,NP res inst
WEIZMANN INSTITUTE OF SCIENCE,REHOVOT,ISRAEL,75,78,Higher Ed
CORIELL INSTITUTE FOR MEDICAL RESEARCH,,NEW JERSEY,78,78,NP res inst
FORDHAM UNIVERSITY,BRONX,NEW YORK,77.5,77.5,Higher Ed
INSTITUTE FOR MOLECULAR MEDICINE,HUNTINGTON BEACH,CALIFORNIA,77.2,77.2,NP res inst
LA JOLLA INST FOR ALLERGY & IMMUNOLGY,LA JOLLA,CALIFORNIA,74,77,NP res inst
COLLEGE AT PURCHASE,PURCHASE,NEW YORK,77,77,Higher Ed
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NEW YORK,78,76.5,NP res inst
SPRINGFIELD COLLEGE,SPRINGFIELD,MASSACHUSETTS,76.4,76.4,Higher Ed
HACKENSACK UNIVERSITY MEDICAL CENTER,HACKENSACK,NEW JERSEY,76.1,76.1,Hosp
BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MASSACHUSETTS,78.5,76,Hosp
COLLEGE AT OSWEGO,OSWEGO,NEW YORK,76,76,Higher Ed
FRED HUTCHINSON CAN RES CTR,SEATTLE,WASHINGTON,76,76,NP res inst
HOSPITAL FOR SPECIAL SURGERY,NEW YORK,NEW YORK,75.5,75.5,Hosp
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WASHINGTON,78.3,75.5,NP res inst
VILLANOVA UNIVERSITY,VILLANOVA UNIVERSITY,PENNSYLVANIA,75.4,75.4,Higher Ed
WELLESLEY COLLEGE,WELLESLEY,MASSACHUSETTS,79,75.3,Higher Ed
ST. JUDE CHILDREN'S RESEARCH HOSPITAL,MEMPHIS,TENNESSEE,75,75,Hosp
CHILDREN'S HOSPITAL BOSTON,BOSTON,MASSACHUSETTS,74,75,Hosp
DANA-FARBER CANCER INST,BOSTON,MASSACHUSETTS,75,75,Hosp
JACKSON LABORATORY,BAR HARBOR,MAINE,75,75,NP res inst
CALIFORNIA PACIFIC MED CTR RES INSTITUTE,SAN FRANCISCO,CALIFORNIA,75,75,Hosp
NEW ENGLAND COLLEGE OF OPTOMETRY,BOSTON,MASSACHUSETTS,75,75,Higher Ed
AMERICAN LEGACY FOUNDATION,WASHINGTON,DIST OF COL,75,75,NP res inst
"MASONIC MEDICAL RESEARCH LABORATORY, INC",UTICA,NEW YORK,75,75,NP res inst
MOLECULAR SCIENCES INSTITUTE,BERKELEY,CALIFORNIA,75,75,NP res inst
"MORGRIDGE INSTITUTE FOR RESEARCH, INC.",MADISON,WISCONSIN,75,75,NP res inst
UNIVERSIDAD METROPOLITANA,SAN JUAN,PUERTO RICO,70,75,Higher Ed
VACCINE RESEARCH INSTITUTE OF SAN DIEGO,SAN DIEGO,CALIFORNIA,72.9,75,NP res inst
BENAROYA RESEARCH INST AT VIRGINIA MASON,SEATTLE,WASHINGTON,70.7,74.7,NP res inst
BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MASSACHUSETTS,74,74,Hosp
COLLEGE AT ONEONTA,ALBANY,NEW YORK,74,74,Higher Ed
HEBREW UNIVERSITY OF JERUSALEM,JERUSALEM,ISRAEL,74,74,Higher Ed
MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MASSACHUSETTS,75,74,Hosp
"BROAD INSTITUTE, INC.",CAMBRIDGE,MASSACHUSETTS,69.5,73,NP res inst
COLLEGE AT OLD WESTBURY,OLD WESTBURY,NEW YORK,73,73,Higher Ed
TORREY PINES INST FOR MOLECULAR STUDIES,Port St. Lucie,FLORIDA,73,73,NP res inst
CHILDREN'S NATIONAL MEDICAL CENTER,WASHINGTON,DIST OF COL,72,72,Hosp
CHILDREN'S RESEARCH INSTITUTE,WASHINGTON,DIST OF COL,72,72,NP res inst
JOHN WAYNE CANCER INSTITUTE,SANTA MONICA,CALIFORNIA,72,72,NP res inst
MC LAUGHLIN RESEARCH INSTITUTE,GREAT FALLS,MONTANA,72,72,NP res inst
POMONA COLLEGE,CLAREMONT,CALIFORNIA,72,72,Higher Ed
ERNEST GALLO CLINIC AND RESEARCH CENTER,EMERYVILLE,CALIFORNIA,71.9,71.9,NP res inst
ROGER WILLIAMS HOSPITAL,PROVIDENCE,RHODE ISLAND,71,70.3,Hosp
ASSUMPTION COLLEGE,WORCESTER,MASSACHUSETTS,70,70,Higher Ed
CHILDREN'S HOSPITAL OF ORANGE COUNTY,ORANGE,CALIFORNIA,70,70,Hosp
NEW YORK INST OF TECHNOLOGY,OLD WESTBURY,NEW YORK,70,70,Higher Ed
QUEEN'S MEDICAL CENTER,HONOLULU,HAWAII,70,70,Hosp
UNIVERSITY OF SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,70,70,Higher Ed
VASSAR COLLEGE,POUGHKEEPSIE,NEW YORK,70,70,Higher Ed
YORK COLLEGE,JAMAICA,NEW YORK,70,70,Higher Ed
JOHN JAY COLLEGE OF CRIMINAL JUSTICE,NEW YORK,NEW YORK,69.5,69.5,Higher Ed
MOUNT SINAI SCHOOL OF MEDICINE,NEW YORK,NEW YORK,69.5,69.5,Higher Ed
ROCKEFELLER UNIVERSITY,NEW YORK,NEW YORK,69.5,69.5,Higher Ed
NEW YORK BLOOD CENTER,NEW YORK,NEW YORK,71,69.3,NP res inst
COLUMBIA UNIVERSITY TEACHERS COLLEGE,NEW YORK,NEW YORK,69.1,69.1,Higher Ed
BOSTON MEDICAL CENTER,BOSTON,MASSACHUSETTS,69,69,Hosp
BERNARD M. BARUCH COLLEGE,NEW YORK,NEW YORK,69,69,Higher Ed
HARVARD UNIVERSITY,CAMBRIDGE,MASSACHUSETTS,69,69,Higher Ed
HARVARD UNIVERSITY (MEDICAL SCHOOL),BOSTON,MASSACHUSETTS,69,69,Higher Ed
KEAN UNIVERSITY,UNION,NEW JERSEY,69,69,Higher Ed
MEDGAR EVERS COLLEGE,NEW YORK,NEW YORK,69,69,Higher Ed
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK,NEW YORK,69,69,Higher Ed
WEILL MEDICAL COLL OF CORNELL UNIV,NEW YORK,NEW YORK,69,69,Higher Ed
NOVA SOUTHEASTERN UNIVERSITY,FORT LAUDERDALE,FLORIDA,68.7,68.7,Higher Ed
FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,MANHASSET,NEW YORK,66,68.5,NP res inst
H. LEE MOFFITT CANCER CTR & RES INST,TAMPA,FLORIDA,67.5,68.5,NP res inst
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE,DUARTE,CALIFORNIA,68,68,NP res inst
DUQUESNE UNIVERSITY,PITTSBURGH,PENNSYLVANIA,68,68,Higher Ed
OKLAHOMA MEDICAL RESEARCH FOUNDATION,OKLAHOMA CITY,OKLAHOMA,61.5,68,NP res inst
BARNARD COLLEGE,NEW YORK,NEW YORK,67.5,67.5,Higher Ed
CHILDREN'S HOSP OF PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,67.5,67.5,Hosp
UNIVERSITY OF NEW ENGLAND,BIDDEFORD,MAINE,67.3,67.3,Higher Ed
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CALIFORNIA,67,67,Hosp
REED COLLEGE,PORTLAND,OREGON,67,67,Higher Ed
TRINITY COLLEGE,HARTFORD,CONNECTICUT,67,67,Higher Ed
YESHIVA UNIVERSITY,NEW YORK,NEW YORK,66,67,Higher Ed
CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,OAKLAND,CALIFORNIA,66.5,66.5,Hosp
UNIV OF MASSACHUSETTS MED SCH WORCESTER,WORCESTER,MASSACHUSETTS,64.5,66,Higher Ed
YALE UNIVERSITY,NEW HAVEN,CONNECTICUT,65.5,66,Higher Ed
"MINNEAPOLIS MEDICAL RESEARCH FDN, INC.",MINNEAPOLIS,MINNESOTA,62.5,65.5,NP res inst
COLGATE UNIVERSITY,HAMILTON,NEW YORK,65,65,Higher Ed
GENETIC INFORMATION RESEARCH INSTITUTE,MOUNTAIN VIEW,CALIFORNIA,65,65,NP res inst
HEBREW REHABILITATION CENTER FOR AGED,BOSTON,MASSACHUSETTS,64.5,65,Hosp
JOSLIN DIABETES CENTER,BOSTON,MASSACHUSETTS,64,65,NP res inst
LANKENAU INSTITUTE FOR MEDICAL RESEARCH,WYNNEWOOD,PENNSYLVANIA,65,65,NP res inst
LA GUARDIA COMMUNITY COLLEGE,LONG ISLAND CITY,NEW YORK,65,65,Higher Ed
LONG ISLAND UNIVERSITY BROOKLYN CAMPUS,BROOKLYN,NEW YORK,65,65,Higher Ed
National Disease Research Interchange,PHILADELPHIA,PENNSYLVANIA,65,65,NP res inst
SPAULDING REHABILITATION HOSPITAL,BOSTON,MASSACHUSETTS,65,65,Hosp
STOWERS INSTITUTE FOR MEDICAL RESEARCH,KANSAS CITY,MISSOURI,62,65,NP res inst
TUFTS UNIVERSITY BOSTON,BOSTON,MASSACHUSETTS,65,65,Higher Ed
UNIVERSIDAD CENTRAL DEL CARIBE,BAYAMON,PUERTO RICO,65,65,Higher Ed
UNIVERSITY OF THE VIRGIN ISLANDS,ST. THOMAS,VIRGIN ISLANDS,65,65,Higher Ed
CATHOLIC UNIVERSITY OF AMERICA,WASHINGTON,DIST OF COL,64.6,64.6,Higher Ed
BLUEFIELD STATE COLLEGE,BLUEFIELD,WEST VIRGINIA,64.2,64.2,Higher Ed
ADELPHI UNIVERSITY,GARDEN CITY,NEW YORK,64.1,64.1,Higher Ed
MOUNT HOLYOKE COLLEGE,SOUTH HADLEY,MASSACHUSETTS,64.1,64.1,Higher Ed
WESLEYAN UNIVERSITY,MIDDLETOWN,CONNECTICUT,64.1,64.1,Higher Ed
ASSOCIATION OF AMERICAN MEDICAL COLLEGES,WASHINGTON,DIST OF COL,64,64,NP res inst
BLUEFIELD STATE COLLEGE,BLUEFIELD,WEST VIRGINIA,64,64,Higher Ed
FAIRFIELD UNIVERSITY,FAIRFIELD,CONNECTICUT,64,64,Higher Ed
"HARVARD PILGRIM HEALTH CARE, INC.",BOSTON,MASSACHUSETTS,62,64,NP res inst
KUAKINI MEDICAL CENTER,HONOLULU,HAWAII,64,64,Hosp
MCGILL UNIVERSITY HEALTH CTR RES INST,MONTREAL,CANADA,64,64,NP res inst
MCGILL UNIVERSITY,MONTREAL,CANADA,64,64,Higher Ed
MERCY COLLEGE,DOBBS FERRY,NEW YORK,63,64,Higher Ed
UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CALIFORNIA,63,64,Higher Ed
PARKINSON'S INSTITUTE,SUNNYVALE,CALIFORNIA,63.8,63.8,NP res inst
BOSTON UNIVERSITY,BOSTON,MASSACHUSETTS,63.5,63.7,Higher Ed
GEISINGER CLINIC,DANVILLE,PENNSYLVANIA,63.5,63.5,NP res inst
COLLEGE OF THE HOLY CROSS,WORCESTER,MASSACHUSETTS,63,63,Higher Ed
HERBERT H. LEHMAN COLLEGE,NEW YORK,NEW YORK,63,63,Higher Ed
OBERLIN COLLEGE,OBERLIN,OHIO,62.4,62.4,Higher Ed
BETH ISRAEL MEDICAL CTR (NEW YORK),NEW YORK,NEW YORK,65.8,62.3,Hosp
JOHNS HOPKINS UNIVERSITY,BALTIMORE,MARYLAND,62,62,Higher Ed
BENEDICT COLLEGE,COLUMBIA,SOUTH CAROLINA,62,62,Higher Ed
CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MASSACHUSETTS,61,62,NP res inst
BROWN UNIVERSITY,PROVIDENCE,RHODE ISLAND,62,62,Higher Ed
CHILDREN'S HOSPITAL OF LOS ANGELES,LOS ANGELES,CALIFORNIA,62,62,Hosp
CENTRAL CONNECTICUT STATE UNIVERSITY,NEW BRITAIN,CONNECTICUT,62,62,Higher Ed
HAMILTON COLLEGE,CLINTON,NEW YORK,64,62,Higher Ed
MASSACHUSETTS EYE AND EAR INFIRMARY,BOSTON,MASSACHUSETTS,60,62,Hosp
MERCER UNIVERSITY MACON,MACON,GEORGIA,62,62,Higher Ed
NEW YORK ACADEMY OF MEDICINE,NEW YORK,NEW YORK,62,62,NP res inst
SWARTHMORE COLLEGE,SWARTHMORE,PENNSYLVANIA,58,62,Higher Ed
UNIVERSITY OF PR CAYEY UNIVERSITY COLL,CAYEY,PUERTO RICO,60,62,Higher Ed
INSTITUTE FOR BASIC RES IN DEV DISABIL,STATEN ISLAND,NEW YORK,61.7,61.7,NP res inst
HUGO W. MOSER RES INST KENNEDY KRIEGER,BALTIMORE,MARYLAND,61.6,61.6,NP res inst
QUINNIPIAC UNIVERSITY,HAMDEN,CONNECTICUT,61.6,61.6,Higher Ed
CHILDREN'S HOSPITAL (NEW ORLEANS),NEW ORLEANS,LOUISIANA,61.5,61.5,Hosp
HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),BOSTON,MASSACHUSETTS,61.5,61.5,Higher Ed
XAVIER UNIVERSITY OF LOUISIANA,NEW ORLEANS,LOUISIANA,61.5,61.5,Higher Ed
NATHAN S. KLINE INSTITUTE FOR PSYCH RES,ORANGEBURG,NEW YORK,61.2,61.2,NP res inst
WALSH UNIVERSITY,NORTH CANTON,OHIO,61.1,61.1,Higher Ed
BRANDEIS UNIVERSITY,WALTHAM,MASSACHUSETTS,60,61,Higher Ed
DARTMOUTH COLLEGE,HANOVER,NEW HAMPSHIRE,58,61,Higher Ed
NEW YORK MEDICAL COLLEGE,VALHALLA,NEW YORK,61,61,Higher Ed
PRINCETON UNIVERSITY,PRINCETON,NEW JERSEY,61,61,Higher Ed
SAGE BIONETWORKS,SEATTLE,WASHINGTON,61,61,NP res inst
MARINE BIOLOGICAL LABORATORY,WOODS HOLE,MASSACHUSETTS,60.5,60.5,NP res inst
"SWEDISH MEDICAL CENTER, FIRST HILL",SEATTLE,WASHINGTON,60.5,60.5,Hosp
"MONTEFIORE MEDICAL CENTER (BRONX, NY)",NEW YORK,NEW YORK,60.1,60.1,Hosp
UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PENNSYLVANIA,60,60,Higher Ed
BOWDOIN COLLEGE,BRUNSWICK,MAINE,60,60,Higher Ed
COLUMBIA UNIV NEW YORK MORNINGSIDE,NEW YORK,NEW YORK,60,60,Higher Ed
CORNELL UNIVERSITY,ITHACA,NEW YORK,59,60,Higher Ed
EMANUEL HOSPITAL AND HEALTH CENTER,PORTLAND,OREGON,60,60,Hosp
GROUP HEALTH COOPERATIVE,SEATTLE,WASHINGTON,60,60,NP res inst
ROCHESTER GENERAL HOSPITAL (NY),ROCHESTER,NEW YORK,60,60,Hosp
SANFORD RESEARCH/USD,SIOUX FALLS,SOUTH DAKOTA,58,60,NP res inst
SCRIPPS HEALTH,SAN DIEGO,CALIFORNIA,50,60,NP res inst
SPELMAN COLLEGE,ATLANTA,GEORGIA,60,60,Higher Ed
UNIVERSITY OF PUERTO RICO AT HUMACAO,HUMACAO,PUERTO RICO,60,60,Higher Ed
UT MD ANDERSON CANCER CTR,HOUSTON,TEXAS,58,60,Hosp
UNIVERSITY OF THE INCARNATE WORD,SAN ANTONIO,TEXAS,60,60,Higher Ed
NEW YORK STATE PSYCHIATRIC INSTITUTE,NEW YORK,NEW YORK,59.8,59.8,Hosp
RIVERSIDE RESEARCH INSTITUTE,NEW YORK,NEW YORK,59,59.7,NP res inst
CENTRAL NEW YORK RESEARCH CORPORATION,SYRACUSE,NEW YORK,59.6,59.6,NP res inst
ITHACA COLLEGE,ITHACA,NEW YORK,59.5,59.5,Higher Ed
SUNY DOWNSTATE MEDICAL CENTER,BROOKLYN,NEW YORK,59.5,59.5,Higher Ed
UPSTATE MEDICAL UNIVERSITY,SYRACUSE,NEW YORK,59.5,59.5,Higher Ed
JEFFERSON STATE COMMUNITY COLLEGE,BIRMINGHAM,ALABAMA,59,59,Higher Ed
MAGEE-WOMEN'S RES INST AND FOUNDATION,PITTSBURGH,PENNSYLVANIA,59,59,NP res inst
MAYO CLINIC,ROCHESTER,MINNESOTA,51,59,NP res inst
MIDDLEBURY COLLEGE,MIDDLEBURY,VERMONT,58,59,Higher Ed
MONTCLAIR STATE UNIVERSITY,MONTCLAIR,NEW JERSEY,58,59,Higher Ed
RHODE ISLAND HOSPITAL,PROVIDENCE,RHODE ISLAND,59,59,Hosp
"ROSKAMP INSTITUTE, INC.",SARASOTA,FLORIDA,59,59,NP res inst
TUFTS MEDICAL CENTER,BOSTON,MASSACHUSETTS,59,59,Hosp
UNIVERSITY OF ALBERTA,EDMONTON,CANADA,61.1,59,Higher Ed
UNIVERSITY OF MASSACHUSETTS AMHERST,AMHERST,MASSACHUSETTS,58.5,59,Higher Ed
UNIVERSITY OF TEXAS DALLAS,DALLAS,TEXAS,59,59,Higher Ed
UNIVERSITY OF WISCONSIN PARKSIDE,KENOSHA,WISCONSIN,58,59,Higher Ed
OAK CREST INSTITUTE OF SCIENCE,PASADENA,CALIFORNIA,58.6,58.6,NP res inst
GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DIST OF COL,58.5,58.5,Higher Ed
NATIONAL JEWISH HEALTH,DENVER,COLORADO,58.5,58.5,Hosp
STATE UNIVERSITY OF NEW YORK AT BUFFALO,BUFFALO,NEW YORK,58.5,58.5,Higher Ed
"TREATMENT RESEARCH INSTITUTE, INC. (TRI)",PHILADELPHIA,PENNSYLVANIA,58.2,58.2,NP res inst
UNION COLLEGE,SCHENECTADY,NEW YORK,58.1,58.1,Higher Ed
BANNER ALZHEIMER'S INSTITUTE,PHOENIX,ARIZONA,58,58,NP res inst
ALBANY MEDICAL COLLEGE,ALBANY,NEW YORK,58,58,Higher Ed
ALBANY STATE UNIVERSITY,ALBANY,GEORGIA,58,58,Higher Ed
BLOOD SYSTEMS RESEARCH INSTITUTE,SAN FRANCISCO,CALIFORNIA,58,58,NP res inst
CLARK ATLANTA UNIVERSITY,ATLANTA,GEORGIA,58,58,Higher Ed
KAISER FOUNDATION RESEARCH INSTITUTE,OAKLAND,CALIFORNIA,58,58,NP res inst
LOMA LINDA UNIVERSITY,LOMA LINDA,CALIFORNIA,58,58,Higher Ed
MCLEAN HOSPITAL,BELMONT,MASSACHUSETTS,58,58,Hosp
NORTHWEST INDIAN COLLEGE,BELLINGHAM,WASHINGTON,58,58,NP res inst
"ORLANDO REGIONAL HEALTHCARE SYSTEM, INC.",ORLANDO,FLORIDA,55,58,NP res inst
UNIV OF MEDICINE &DENTISTRY OF NEW JERSEY,NEW BRUNSWICK,NEW JERSEY,58,58,Higher Ed
UNIVERSITY OF CHICAGO,CHICAGO,ILLINOIS,57,58,Higher Ed
UNIVERSITY OF VIRGINIA,CHARLOTTESVILLE,VIRGINIA,54,58,Higher Ed
KECK GRADUATE INST OF APPLIED LIFE SCIS,CLAREMONT,CALIFORNIA,57.8,57.8,Higher Ed
PALMER COLLEGE OF CHIROPRACTIC,DAVENPORT,IOWA,57.6,57.6,Higher Ed
METHODIST HOSPITAL RESEARCH INSTITUTE,HOUSTON,TEXAS,55.5,57.5,NP res inst
MCMASTER UNIVERSITY,HAMILTON,CANADA,59.6,57.5,Higher Ed
SETON HALL UNIVERSITY,SOUTH ORANGE,NEW JERSEY,57.5,57.5,Higher Ed
STANFORD UNIVERSITY,PALO ALTO,CALIFORNIA,N/A,57,Higher Ed
DUKE UNIVERSITY,DURHAM,NORTH CAROLINA,57,57,Higher Ed
AKRON GENERAL MEDICAL CENTER,AKRON,OHIO,57,57,Hosp
BAYLOR RESEARCH INSTITUTE,DALLAS,TEXAS,57,57,NP res inst
BROOKLYN COLLEGE,NEW YORK,NEW YORK,57,57,Higher Ed
CASE WESTERN RESERVE UNIVERSITY,CLEVELAND,OHIO,57,57,Higher Ed
CLEVELAND CLINIC LERNER COM-CWRU,CLEVELAND,OHIO,57,57,Higher Ed
HAVERFORD COLLEGE,HAVERFORD,PENNSYLVANIA,57,57,Higher Ed
MEDSTAR RESEARCH INSTITUTE,HYATTSVILLE,MARYLAND,57,57,NP res inst
NEW YORK UNIVERSITY,NEW YORK,NEW YORK,54,57,Higher Ed
STATE UNIVERSITY NEW YORK STONY BROOK,STONY BROOK,NEW YORK,57,57,Higher Ed
UNIVERSITY OF CINCINNATI,CINCINNATI,OHIO,57,57,Higher Ed
UNIVERSITY OF CONNECTICUT STORRS,STORRS-MANSFIELD,CONNECTICUT,57,57,Higher Ed
UNIVERSITY OF GUAM,MANGILAO,GUAM,57,57,Higher Ed
PHILADELPHIA COLLEGE OF OSTEOPATHIC MED,PHILADELPHIA,PENNSYLVANIA,56.6,56.6,Higher Ed
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,55,56.5,Higher Ed
BAYLOR COLLEGE OF MEDICINE,HOUSTON,TEXAS,56.5,56.5,Higher Ed
BOSTON COLLEGE,CHESTNUT HILL,MASSACHUSETTS,56.5,56.5,Higher Ed
EMORY UNIVERSITY,ATLANTA,GEORGIA,55,56,Higher Ed
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,NEEDHAM,MASSACHUSETTS,56,56,Higher Ed
INDIANA UNIVERSITY BLOOMINGTON,BLOOMINGTON,INDIANA,55,56,Higher Ed
NORTHSHORE UNIVERSITY HEALTHSYSTEM,EVANSTON,ILLINOIS,55,56,Hosp
