Organization Name,ORG_CITY,ORG_STATE/ORG_COUNTRY,FY12,FY13,Institution type
ROSE-HULMAN INSTITUTE OF TECHNOLOGY,TERRE HAUTE,INDIANA,46.3,46.3,Higher Ed
CENTER FOR APPLIED LINGUISTICS,WASHINGTON,DIST OF COL,46,46,NP res inst
DELAWARE STATE UNIVERSITY,DOVER,DELAWARE,46,46,Higher Ed
EAST TENNESSEE STATE UNIVERSITY,JOHNSON CITY,TENNESSEE,46,46,Higher Ed
FLORIDA AGRICULTURAL AND MECHANICAL UNIV,TALLAHASSEE,FLORIDA,46,46,Higher Ed
MIRIAM HOSPITAL,PROVIDENCE,RHODE ISLAND,46,46,Hosp
TEXAS A&M UNIVERSITY,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
TEXAS A&M UNIVERSITY SYSTEM,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
TEXAS AGRILIFE RESEARCH,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
TEXAS ENGINEERING EXPERIMENT STATION,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
WESTERN UNIVERSITY OF HEALTH SCIENCES,POMONA,CALIFORNIA,49,46,Higher Ed
WICHITA STATE UNIVERSITY,WICHITA,KANSAS,46,46,Higher Ed
WRIGHT STATE UNIVERSITY,DAYTON,OHIO,46,46,Higher Ed
CLEVELAND STATE UNIVERSITY,CLEVELAND,OHIO,42,45.5,Higher Ed
MEHARRY MEDICAL COLLEGE,NASHVILLE,TENNESSEE,46,45.5,Higher Ed
MONTGOMERY COLLEGE,ROCKVILLE,MARYLAND,45.5,45.5,Higher Ed
PORTLAND STATE UNIVERSITY,PORTLAND,OREGON,46,45.5,Higher Ed
UNIVERSITY OF NORTH CAROLINA WILMINGTON,WILMINGTON,NORTH CAROLINA,45.5,45.5,Higher Ed
UNIVERSITY OF IDAHO,MOSCOW,IDAHO,45.2,45.3,Higher Ed
MARSHALL UNIVERSITY,HUNTINGTON,WEST VIRGINIA,42,45.1,Higher Ed
ALABAMA STATE UNIVERSITY,MONTGOMERY,ALABAMA,45,45,Higher Ed
ALLAN HANCOCK COLLEGE,SANTA MARIA,CALIFORNIA,45,45,Higher Ed
BASTYR UNIVERSITY,KENMORE,WASHINGTON,42,45,Higher Ed
CALIFORNIA STATE POLY U POMONA,POMONA,CALIFORNIA,45,45,Higher Ed
CALIFORNIA STATE UNIVERSITY LOS ANGELES,LOS ANGELES,CALIFORNIA,45,45,Higher Ed
CALIFORNIA STATE UNIVERSITY NORTHRIDGE,NORTHRIDGE,CALIFORNIA,45,45,Higher Ed
CHAMINADE UNIVERSITY OF HONOLULU,HONOLULU,HAWAII,45,45,Higher Ed
CHICAGO STATE UNIVERSITY,CHICAGO,ILLINOIS,45,45,Higher Ed
CHRISTIAN BROTHERS UNIVERSITY,MEMPHIS,TENNESSEE,45,45,Higher Ed
DILLARD UNIVERSITY,NEW ORLEANS,LOUISIANA,45,45,Higher Ed
DOMINICAN UNIVERSITY,SAN RAFAEL,CALIFORNIA,45,45,Higher Ed
FLORIDA INSTITUTE OF TECHNOLOGY,MELBOURNE,FLORIDA,45,45,Higher Ed
FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FLORIDA,45,45,Higher Ed
LEWIS AND CLARK COLLEGE,PORTLAND,OREGON,45,45,Higher Ed
LOUISIANA STATE UNIV-UNIV OF NEW ORLEANS,NEW ORLEANS,LOUISIANA,45,45,Higher Ed
ROOSEVELT UNIVERSITY,CHICAGO,ILLINOIS,No Rate,45,Higher Ed
SOUTH DAKOTA STATE UNIVERSITY,BROOKINGS,SOUTH DAKOTA,45,45,Higher Ed
TOWSON UNIVERSITY,TOWSON,MARYLAND,45,45,Higher Ed
UNIVERSITY OF BRITISH COLUMBIA,VANCOUVER,CANADA,45,45,Higher Ed
UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,FLORIDA,45,45,Higher Ed
UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,FORT WORTH,TEXAS,45,45,Higher Ed
UNIVERSITY OF OREGON,EUGENE,OREGON,42,45,Higher Ed
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,COLUMBIA,SOUTH CAROLINA,45,45,Higher Ed
CALIFORNIA STATE UNIVERSITY LONG BEACH,LONG BEACH,CALIFORNIA,44.5,44.5,Higher Ed
CREIGHTON UNIVERSITY,OMAHA,NEBRASKA,44.5,44.5,Higher Ed
MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE,MISSISSIPPI,44.5,44.5,Higher Ed
ROCHESTER INSTITUTE OF TECHNOLOGY,ROCHESTER,NEW YORK,44.5,44.5,Higher Ed
SOUTHERN ILLINOIS UNIV AT EDWARDSVILLE,EDWARDSVILLE,ILLINOIS,44.5,44.5,Higher Ed
UNIVERSITY OF SOUTH DAKOTA,VERMILLION,SOUTH DAKOTA,44,44.5,Higher Ed
CAROLINAS MEDICAL CENTER,CHARLOTTE,NORTH CAROLINA,44,44,Hosp
"CENTER FOR RESEARCH TO PRACTICE, INC.",EUGENE,OREGON,44,44,NP res inst
ILLINOIS STATE UNIVERSITY,NORMAL,ILLINOIS,44,44,Higher Ed
LOUISIANA STATE UNIV-UNIV OF NEW ORLEANS,NEW ORLEANS,LOUISIANA,44,44,Higher Ed
LOUISIANA STATE UNIV HSC SHREVEPORT,SHREVEPORT,LOUISIANA,44,44,Higher Ed
LSU PENNINGTON BIOMEDICAL RESEARCH CTR,BATON ROUGE,LOUISIANA,44,44,Higher Ed
MONTANA STATE UNIVERSITY - BOZEMAN,BOZEMAN,MONTANA,42.5,44,Higher Ed
ST. NORBERT COLLEGE,DE PERE,WISCONSIN,44,44,Higher Ed
UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,FAYETTEVILLE,ARKANSAS,44,44,Higher Ed
UNIVERSITY OF MISSISSIPPI,UNIVERSITY,MISSISSIPPI,43,44,Higher Ed
UNIVERSITY OF NEVADA LAS VEGAS,LAS VEGAS,NEVADA,44,44,Higher Ed
UNIVERSITY OF TEXAS-PAN AMERICAN,EDINBURG,TEXAS,44,44,Higher Ed
WINSTON-SALEM STATE UNIVERSITY,WINSTON-SALEM,NORTH CAROLINA,43.7,43.7,Higher Ed
WEST CHESTER UNIVERSITY OF PENNSYLVANIA,WEST CHESTER,PENNSYLVANIA,43.6,43.6,Higher Ed
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MISSOURI,43.5,43.5,Higher Ed
UNIVERSITY OF NEVADA RENO,RENO,NEVADA,43.5,43.5,Higher Ed
UNIVERSITY OF NORTH CAROLINA GREENSBORO,GREENSBORO,NORTH CAROLINA,43.5,43.5,Higher Ed
UNIVERSITY OF NORTH FLORIDA,JACKSONVILLE,FLORIDA,43.5,43.5,Higher Ed
SAN JOSE STATE UNIVERSITY,SAN JOSE,CALIFORNIA,43.4,43.4,Higher Ed
AMERICAN UNIVERSITY,WASHINGTON,DIST OF COL,43,43,Higher Ed
CALIFORNIA STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CALIFORNIA,43,43,Higher Ed
CENTRAL MICHIGAN UNIVERSITY,MOUNT PLEASANT,MICHIGAN,43,43,Higher Ed
"CENTRAL STATE UNIV (WILBERFORCE, OH)",WILBERFORCE,OHIO,43,43,Higher Ed
FERRIS STATE UNIVERSITY,BIG RAPIDS,MICHIGAN,43,43,Higher Ed
"IHC HEALTH SERVICES, INC.",SALT LAKE CITY,UTAH,43,43,NP res inst
LOYOLA UNIVERSITY OF CHICAGO,CHICAGO,ILLINOIS,41.5,43,Higher Ed
UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LOUISIANA,43,43,Higher Ed
UNIVERSITY OF NEBRASKA OMAHA,OMAHA,NEBRASKA,41,43,Higher Ed
UNIVERSITY OF TEXAS HLTH CTR AT TYLER,TYLER,TEXAS,41,43,Higher Ed
UNIVERSITY OF MAINE ORONO,BANGOR,MAINE,42.8,42.8,Higher Ed
TEXAS WOMAN'S UNIVERSITY,DENTON,TEXAS,56.1,42.7,Higher Ed
NORTH CAROLINA AGRI & TECH ST UNIV,GREENSBORO,NORTH CAROLINA,42.5,42.5,Higher Ed
UNIVERSITY OF THE SCIENCES PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,42.5,42.5,Higher Ed
CALIFORNIA STATE UNIV-DOMINGUEZ HILLS,CARSON,CALIFORNIA,42,42,Higher Ed
DOWLING COLLEGE,OAKDALE,NEW YORK,42,42,Higher Ed
LOUISIANA STATE UNIV AGRICULTURAL CENTER,BATON ROUGE,LOUISIANA,42,42,Higher Ed
MIAMI UNIVERSITY OXFORD,OXFORD,OHIO,42,42,Higher Ed
MOREHOUSE COLLEGE,ATLANTA,GEORGIA,42,42,Higher Ed
TEL AVIV UNIVERSITY,TEL AVIV,ISRAEL,42,42,Higher Ed
UNIVERSITY OF HOUSTON-CLEAR LAKE,HOUSTON,TEXAS,42,42,Higher Ed
UNIVERSITY OF MONTANA,MISSOULA,MONTANA,42,42,Higher Ed
PALO ALTO MEDICAL FOUNDATION RES INST,PALO ALTO,CALIFORNIA,41.8,41.8,NP res inst
UNIVERSITY OF HOUSTON-DOWNTOWN,HOUSTON,TEXAS,50,41.6,Higher Ed
MOREHOUSE SCHOOL OF MEDICINE,ATLANTA,GEORGIA,41.5,41.5,Higher Ed
UNIVERSITY OF WYOMING,LARAMIE,WYOMING,41.5,41.5,Higher Ed
"CLARIAN HEALTH PARTNERS, INC.",INDIANAPOLIS,INDIANA,41,41,Hosp
CHARLES R. DREW UNIVERSITY OF MED & SCI,LOS ANGELES,CALIFORNIA,41,41,Higher Ed
COMMONWEALTH MEDICAL COLLEGE,SCRANTON,PENNSYLVANIA,41,41,Higher Ed
GRAND VALLEY STATE UNIVERSITY,Allendale,MICHIGAN,41,41,Higher Ed
"PALO ALTO INSTITUTE FOR RES & EDU, INC.",PALO ALTO,CALIFORNIA,41,41,NP res inst
UNIVERSITY OF MEMPHIS,MEMPHIS,TENNESSEE,41,41,Higher Ed
WAKE FOREST UNIVERSITY,WINSTON-SALEM,NORTH CAROLINA,41,41,Higher Ed
"BUTLER HOSPITAL (PROVIDENCE, RI)",PROVIDENCE,RHODE ISLAND,37.5,40.7,Hosp
"COLORADO CANCER RESEARCH PROGRAM, INC.",DENVER,COLORADO,40.3,40.3,NP res inst
BALL STATE UNIVERSITY,MUNCIE,INDIANA,40,40,Higher Ed
NORTH CAROLINA CENTRAL UNIVERSITY,DURHAM,NORTH CAROLINA,40,40,Higher Ed
RADFORD UNIVERSITY,RADFORD,VIRGINIA,39.5,39.5,Higher Ed
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,SAN DIEGO,CALIFORNIA,39.2,39.2,NP res inst
CALIFORNIA STATE UNIVERSITY FULLERTON,FULLERTON,CALIFORNIA,39.1,39.1,Higher Ed
BOISE STATE UNIVERSITY,BOISE,IDAHO,39,39,Higher Ed
BOWLING GREEN STATE UNIVERSITY,BOWLING GREEN,OHIO,39,39,Higher Ed
CALIFORNIA POLY STATE U SAN LUIS OBISPO,SAN LUIS OBISPO,CALIFORNIA,38,39,Higher Ed
EAST CENTRAL UNIVERSITY,ADA,OKLAHOMA,39,39,Higher Ed
KENNESAW STATE UNIVERSITY,KENNESAW,GEORGIA,39,39,Higher Ed
MOUNT ST. MARY'S COLLEGE,LOS ANGELES,CALIFORNIA,39,39,Higher Ed
TEXAS A&M INTERNATIONAL UNIVERSITY,LAREDO,TEXAS,52,39,Higher Ed
UNIVERSITY OF WESTERN STATES,PORTLAND,OREGON,35,39,Higher Ed
CALIFORNIA STATE UNIVERSITY FRESNO,FRESNO,CALIFORNIA,38.4,38.4,Higher Ed
UNIVERSITY OF CALGARY,CALGARY,CANADA,38.3,38.3,Higher Ed
AMERICAN ACADEMY OF PEDIATRICS,ELK GROVE VILLAGE,ILLINOIS,38,38,NP res inst
ALCORN STATE UNIVERSITY,ALCORN STATE,MISSISSIPPI,35,38,Higher Ed
CALIFORNIA STATE UNIVERSITY SACRAMENTO,SACRAMENTO,CALIFORNIA,38,38,Higher Ed
CONNECTICUT COLLEGE,NEW LONDON,CONNECTICUT,38,38,Higher Ed
FORT LEWIS COLLEGE,DURANGO,COLORADO,38,38,Higher Ed
LITTLE BIG HORN COLLEGE,CROW AGENCY,MONTANA,38,38,Higher Ed
LOYOLA MARYMOUNT UNIVERSITY,LOS ANGELES,CALIFORNIA,38,38,Higher Ed
SUMMA HEALTH SYSTEM,AKRON,OHIO,38,38,NP res inst
TENNESSEE STATE UNIVERSITY,NASHVILLE,TENNESSEE,38,38,Higher Ed
TEXAS A&M UNIVERSITY-KINGSVILLE,KINGSVILLE,TEXAS,52,38,Higher Ed
UNIVERSITY OF WEST GEORGIA,CARROLLTON,GEORGIA,37.5,37.5,Higher Ed
UNIVERSITY OF SOUTH CAROLINA,COLUMBIA,SOUTH CAROLINA,37,37,Higher Ed
UNIVERSITY OF HAWAII AT MANOA,HONOLULU,HAWAII,36.7,36.7,Higher Ed
BAYLOR UNIVERSITY,WACO,TEXAS,37,36.5,Higher Ed
NEMOURS CHILDREN'S CLINIC,JACKSONVILLE,FLORIDA,35.5,36.5,NP res inst
BETH ISRAEL MEDICAL CTR (NEW YORK),NEWARK,NEW JERSEY,36.4,36.4,Hosp
NORTHERN MICHIGAN UNIVERSITY,MARQUETTE,MICHIGAN,37,36,Higher Ed
SAINT THOMAS UNIVERSITY,MIAMI,FLORIDA,36,36,Higher Ed
TEXAS A&M UNIVERSITY-CORPUS CHRISTI,COMMERCE,TEXAS,52,36,Higher Ed
NORTHWEST PORTLAND AREA INDIAN HLTH BD,PORTLAND,OREGON,35.9,35.9,NP res inst
UNIVERSITY OF NORTHERN COLORADO,GREELEY,COLORADO,35.6,35.6,Higher Ed
ALCORN STATE UNIVERSITY,ALCORN STATE,MISSISSIPPI,35.5,35.5,Higher Ed
DENVER HEALTH AND HOSPITAL AUTHORITY,DENVER,COLORADO,35.5,35.5,NP res inst
SANTA CLARA UNIVERSITY,SANTA CLARA,CALIFORNIA,35.5,35.5,Higher Ed
SULLIVAN ALLIANCE/TRANSFORM/HLTH/PROFESS,WASHINGTON,DIST OF COL,35.5,35.5,NP res inst
PARK NICOLLET INSTITUTE,MINNEAPOLIS,MINNESOTA,35.3,35.3,NP res inst
WESTERN INTERSTATE COMMISSION HIGHER ED,BOULDER,COLORADO,35.1,35.1,NP res inst
AZUSA PACIFIC UNIVERSITY,AZUSA,CALIFORNIA,35,35,Higher Ed
BALDWIN-WALLACE COLLEGE,BEREA,OHIO,35,35,Higher Ed
INTERNATIONAL ASSOCIATION FIRE FIGHTERS,WASHINGTON,DIST OF COL,35,35,NP res inst
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NORTH CAROLINA,35,35,Hosp
NORTHERN KENTUCKY UNIVERSITY,HIGHLAND HEIGHTS,KENTUCKY,35,35,Higher Ed
SEATTLE INST FOR BIOMEDICAL/CLINICAL RES,SEATTLE,WASHINGTON,35,35,NP res inst
"SOUTHERN UNIVERSITY AT SHREVEPORT, LA",SHREVEPORT,LOUISIANA,35,35,Higher Ed
HAMLINE UNIVERSITY,ST. PAUL,MINNESOTA,34,34,Higher Ed
WARREN CANCER RESEARCH FOUNDATION,TULSA,OKLAHOMA,34,34,NP res inst
SOUTHERN CALIFORNIA INST FOR RES/EDUC,LONG BEACH,CALIFORNIA,33.3,33.3,NP res inst
COLLEGE OF ST SCHOLASTICA,DULUTH,MINNESOTA,32.8,33.2,Higher Ed
"CHESTNUT HEALTH SYSTEMS, INC.",BLOOMINGTON,ILLINOIS,33.1,33.1,NP res inst
SINGING RIVER HEALTH SYSTEM,PASCAGOULA,MISSISSIPPI,33,33,Hosp
RAPID CITY REGIONAL HOSPITAL,RAPID CITY,SOUTH DAKOTA,32.8,32.8,Hosp
CLAREMONT GRADUATE UNIVERSITY,CLAREMONT,CALIFORNIA,32.3,32.3,Higher Ed
TACOMA GENERAL HOSPITAL,TACOMA,WASHINGTON,23.6,32.1,Hosp
METROPOLITAN STATE COLLEGE OF DENVER,DENVER,COLORADO,33,32,Higher Ed
SPARTANBURG REGIONAL MEDICAL CENTER,SPARTANBURG,SOUTH CAROLINA,32,32,Hosp
APPALACHIAN STATE UNIVERSITY,BOONE,NORTH CAROLINA,31.9,31.9,Higher Ed
UNIVERSITY OF WATERLOO,WATERLOO,CANADA,31.9,31.9,Higher Ed
WHITTEMORE PETERSON INSTITUTE,Reno,NEVADA,31.8,31.8,NP res inst
BOYCE THOMPSON INST FOR PLANT RESEARCH,ITHACA,NEW YORK,24.7,31.5,NP res inst
SAM HOUSTON STATE UNIVERSITY,HUNTSVILLE,TEXAS,31.5,31.5,Higher Ed
UNIVERSITY OF LA VERNE,LA VERNE,CALIFORNIA,44,31.5,Higher Ed
GEORGIA SOUTHERN UNIVERSITY,STATESBORO,GEORGIA,31,31,Higher Ed
LAHEY CLINIC,BURLINGTON,MASSACHUSETTS,31,31,Hosp
NAT'L COALITION/HLTH PROFESS ED/GENETICS,LUTHERVILLE,MARYLAND,31,31,NP res inst
TEXAS A&M UNIVERSITY-CORPUS CHRISTI,CORPUS CHRISTI,TEXAS,31,31,Higher Ed
"BRONX-LEBANON HOSP CTR (BRONX, NY)",NEW YORK,NEW YORK,30.6,30.6,Hosp
EMMA PENDLETON BRADLEY HOSPITAL,EAST PROVIDENCE,RHODE ISLAND,30.6,30.6,Hosp
ARBOR RESEARCH COLLABORATIVE FOR  HEALTH,ANN ARBOR,MICHIGAN,30.3,30.3,NP res inst
HEKTOEN INSTITUTE FOR MEDICAL RESEARCH,CHICAGO,ILLINOIS,30.3,30.3,NP res inst
SEPULVEDA RESEARCH CORPORATION,SEPULVEDA,CALIFORNIA,30.1,30.1,NP res inst
FLORIDA ASSN OF PEDIATRIC TUMOR PROG,TAMPA,FLORIDA,30,30,NP res inst
DRAKE UNIVERSITY,DES MOINES,IOWA,30,30,Higher Ed
EASTERN KENTUCKY UNIVERSITY,RICHMOND,KENTUCKY,30,30,Higher Ed
PANGAEA GLOBAL AIDS FOUNDATION,OAKLAND,CALIFORNIA,30,30,NP res inst
SHEPPARD AND ENOCH PRATT HOSPITAL,BALTIMORE,MARYLAND,30,30,Hosp
SOUTH CAROLINA STATE UNIVERSITY,ORANGEBURG,SOUTH CAROLINA,30,30,Higher Ed
CHINESE COMMUNITY HEALTH RESOURCE CENTER,SAN FRANCISCO,CALIFORNIA,29.8,29.8,NP res inst
PHOENIX CHILDREN'S HOSPITAL,PHOENIX,ARIZONA,55,29.8,Hosp
MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TENNESSEE,29,29,Higher Ed
TOUGALOO COLLEGE,TOUGALOO,MISSISSIPPI,29,29,Higher Ed
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,ILLINOIS,New,28.4,NP res inst
"COLLABORATIVE DRUG DISCOVERY, INC.",Ann Arbor,CALIFORNIA,28.3,28.3,Other
GUNDERSEN LUTHERAN MEDICAL FOUNDATION,LA CROSSE,WISCONSIN,28,28,NP res inst
"PHOENIX BIOSYSTEM, INC.",Columbia,CALIFORNIA,28,28,Other
"AURORA HEALTH CARE, INC.",MILWAUKEE,WISCONSIN,27,27,NP res inst
CARL T. HAYDEN MEDICAL RESEARCH FDN,PHOENIX,ARIZONA,26.3,26.3,NP res inst
INTERNATIONAL BREAST CANCER RESEARCH FDN,MADISON,WISCONSIN,26.2,26.2,NP res inst
HOUSTON ACADEMY OF MED-TEXAS MED CTR LIB,,TEXAS,26,26,Other
DAVIDSON COLLEGE,DAVIDSON,NORTH CAROLINA,25.1,25.1,Higher Ed
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GEORGIA,New,25,NP res inst
MIDWEST BIOMEDICAL RESEARCH FOUNDATION,KANSAS CITY,MISSOURI,27.8,25,NP res inst
BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE,LOS ANGELES,CALIFORNIA,24.4,24.4,NP res inst
MOREHEAD STATE UNIVERSITY,MOREHEAD,KENTUCKY,24,24,Higher Ed
SALISH KOOTENAI COLLEGE,PABLO,MONTANA,24,24,Higher Ed
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MARYLAND,23.75,23.8,NP res inst
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MARYLAND,23.75,23.75,NP res inst
SOUTH CAROLINA HIV/AIDS COUNCIL,COLUMBIA,SOUTH CAROLINA,23,23,NP res inst
CHICAGO ASSN FOR RESEARCH & EDUC IN SCI,HINES,ILLINOIS,22.5,22.5,NP res inst
OLIVE VIEW-UCLA EDUCATION AND RES INST,,CALIFORNIA,21,21,Other
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GEORGIA,20.5,20.5,NP res inst
SEQUOIA FOUNDATION,LA JOLLA,CALIFORNIA,20.1,20.1,NP res inst
NATIONAL PARTNERSHIP/ENVIRONMNTL/TECH/ED,SOUTH PORTLAND,MAINE,,20,NP res inst
HASKELL INDIAN NATIONS UNIVERSITY,LAWRENCE,KANSAS,19.9,19.9,Higher Ed
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DIST OF COL,18,18,NP res inst
"ALBANY RESEARCH INSTITUTE, INC.",ALBANY,NEW YORK,22,17.9,NP res inst
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MARYLAND,17.5,17.5,NP res inst
KRONOS LONGEVITY RESEARCH INSTITUTE,PHOENIX,ARIZONA,17.3,17.3,NP res inst
PUBLIC HEALTH INSTITUTE,OAKLAND,CALIFORNIA,16.3,16.5,NP res inst
MICHIGAN PUBLIC HEALTH INSTITUTE,OKEMOS,MICHIGAN,15.3,16.3,NP res inst
NATIVE AMERICAN CANCER RESEARCH,PINE,COLORADO,16.3,16.3,NP res inst
"NSABP FOUNDATION, INC.",PITTSBURGH,PENNSYLVANIA,16.2,16.2,NP res inst
SEIU EDUCATION AND SUPPORT FUND,WASHINGTON,DIST OF COL,16,16,NP res inst
AERAS GLOBAL TB VACCINE FOUNDATION,ROCKVILLE,MARYLAND,15,15,NP res inst
"PROVIDENCE HOSPITAL (MOBILE, AL)",MOBILE,ALABAMA,15,15,Hosp
MASSACHUSETTS STATE DEPT OF PUB HEALTH,BOSTON,MASSACHUSETTS,14.8,13.8,NP res inst
"MOUNTAIN STATES GROUP, INC.",BOISE,IDAHO,12.7,12.7,NP res inst
"NEIGHBORHOOD HOUSE, INC.",SEATTLE,WASHINGTON,11.3,11.2,NP res inst
OREGON LAW CENTER,PORTLAND,OREGON,New,10.2,NP res inst
GYNECOLOGIC ONCOLOGY GROUP,CROFTON,MARYLAND,9,9,NP res inst
PUBLIC HEALTH FOUNDATION ENTERPRISES,CITY OF INDUSTRY,CALIFORNIA,9,9,NP res inst
GUTTMACHER INSTITUTE,NEW YORK,NEW YORK,,,NP res inst
YESHIVA UNIVERSITY,BRONX,NEW YORK,,,Higher Ed
CTR FOR MOLECULAR MEDICINE/IMMUNOLOGY,BELLEVILLE,NEW JERSEY,,,NP res inst
"ECOHEALTH ALLIANCE, INC.",NEW YORK,NEW YORK,44.1,,NP res inst
FENWAY COMMUNITY HEALTH CENTER,BOSTON,MASSACHUSETTS,69.2,,NP res inst
FOUNDATION FOR AIDS RESEARCH,NEW YORK,NEW YORK,32.7,,NP res inst
FOUNDATION FOR BLOOD RESEARCH,SCARBOROUGH,MAINE,48.5,,NP res inst
"FRONTIER SCI & TECHNOLOGY RSCH FDN, INC",BOSTON,MASSACHUSETTS,30.5,,NP res inst
EL PASO COMMUNITY COLLEGE,EL PASO,TEXAS,40,,Higher Ed
"IMMUNE DISEASE INSTITUTE, INC.",BOSTON,MASSACHUSETTS,,,NP res inst
JUDGE BAKER CHILDREN'S CENTER,BOSTON,MASSACHUSETTS,,,NP res inst
"KESSLER FOUNDATION, INC.",WEST ORANGE,NEW JERSEY,,,NP res inst
LAWRENCE UNIVERSITY,APPLETON,WISCONSIN,60,,Higher Ed
MISSOURI BAPTIST MEDICAL CENTER,ST. LOUIS,MISSOURI,32.5,,Hosp
MONTREAL HEART INSTITUTE,MONTREAL,CANADA,53,,NP res inst
MOUNT DESERT ISLAND BIOLOGICAL LAB,Salisbury Cove,MAINE,,,NP res inst
NATIONAL BUREAU OF ECONOMIC RESEARCH,CAMBRIDGE,MASSACHUSETTS,52,,NP res inst
NATIONAL DEVELOPMENT & RES INSTITUTES,NEW YORK,NEW YORK,53.5,,NP res inst
NEW YORK-PRESBYTERIAN HOSPITAL,NEW YORK,NEW YORK,73,,Hosp
ONTARIO INSTITUTE FOR CANCER RESEARCH,TORONTO,CANADA,,,NP res inst
"ORDWAY RESEARCH INSTITUTE, INC.",ALBANY,NEW YORK,,,NP res inst
POPULATION COUNCIL,NEW YORK,NEW YORK,,,NP res inst
PUBLIC HEALTH SOLUTIONS,NEW YORK,NEW YORK,,,NP res inst
SLOAN-KETTERING INST CAN RES,NEW YORK,NEW YORK,71.3,,NP res inst
ST. LUKE'S-ROOSEVELT INST FOR HLTH SCIS,NEW YORK,NEW YORK,,,NP res inst
STEWARD RESEARCH/SPECIALTY PROJECTS CORP,BOSTON,MASSACHUSETTS,,,NP res inst
TEXAS TECH UNIVERSITY,LUBBOCK,TEXAS,47,,Higher Ed
UNIVERSITY HEALTH NETWORK,TORONTO,CANADA,51.8,,Hosp
UNIVERSITY OF SOUTHERN MAINE,PORTLAND,MAINE,,,Higher Ed
VETERANS BIOMEDICAL RESEARCH INSTITUTE,EAST ORANGE,NEW JERSEY,25.9,,NP res inst
WINIFRED MASTERSON BURKE MED RES INST,WHITE PLAINS,NEW YORK,,,NP res inst
